;Wszystkie;;Montaż;;Spawanie;;Szlifowanie;;Pozostałe;
No;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane;technol;wykonane
1;223;260;80;78;88;95;32;40;23;47
2;223;233;80;82;88;84;32;38;23;29
3;379;416,5;120;118;192;199,5;48;56;19;43
4;802;905,5;280;300;318;290;80;147;124;168,5
5;635,6;674;246;226;234;232,5;64;92;91,6;123,5
6;635;684,5;224;213;268;255;64;82;79;134,5
7;474;506,5;160;159;236;218,5;44;60;34;69
8;724;822,5;314;328;276;281,5;80;108;54;105
9;316;364,5;128;114,5;120;153;32;40;36;57
10;508,4;530,5;167;175;251;234,5;62;65;28,4;56
11;905,6;1057;298;302;356;369,5;100;99,5;151,6;286
12;392;450,5;132;144;180;176;56;70;24;60,5
13;230,9;269,5;82;86;88;88,5;32;39;28,9;56
14;735;1318,5;260;260;306;404;70;95;99;559,5
15;124,5;147,5;50;49,5;48;53;16;16;10,5;29
16;203;239,5;74;64;74;71;32;42;23;62,5
17;313,6;340;124;119;122;112;40;48,5;27,6;60,5
18;313,6;335,5;124;114;122;106,5;40;50;27,6;65
19;518,6;570,5;222;214;194;206,5;72;80;30,6;70
20;519,1;538,5;222;216;194;192;72;75;31,1;55,5
21;519,1;525;222;215;194;188;72;73;31,1;49
22;297,9;425;116;145,5;120;156,5;36;53;25,9;70
23;646,6;697;246;214;234;236;64;81;102,6;166
24;642,6;658;246;203;234;227;64;81;98,6;147
25;660;717,5;246;211,5;234;232,5;64;81;116;192,5
26;145,2;179;51;53,5;54;55,5;24;28;16,2;42
27;729;784,5;260;265;306;291,5;70;83;93;145
28;904;917;298;303;356;323;100;110;150;181
29;624;668;232;216,5;230;220,5;60;86;102;145
30;958;1055;324;321,5;396;396,5;100;130;138;207
31;961;1034,5;324;320;396;385;100;127;141;202,5
32;383,6;366,5;156;107,5;124;132;32;44;71,6;83
33;383,6;363;156;110;124;107;32;42;71,6;104
34;383,6;371;156;118;124;108,5;32;45;71,6;99,5
35;800;850,5;280;249,5;318;314;80;101;122;186
36;460;472,5;184;164;164;143;36;49;76;116,5
37;1074;1133;348;344;510;490;96;115;120;184
38;958;1030,5;324;318,5;396;395;100;127;138;190
39;383;415,5;120;123;192;182,5;48;58;23;52
40;357;465,5;129;136,5;135;188;48;60;45;81
41;239,5;269;86;97;94;99,5;28;32;31,5;40,5
42;142;187,5;52;54,5;59;80;16;21,5;15;31,5
43;1834,7;2057,5;670;683;928;934;168;199;68,7;241,5
44;240;250;90;80,5;102;95;24;28,5;24;46
45;277,2;369;108;130;98;101;32;55;39,2;83
46;182;201,5;56;57;67;71;20;27;39;46,5
47;160;196;55;57,5;68;86,5;18;23;19;29
