No;Description;Weight for 1;Quantity;Typ;Finish week ;Active;work preparation Plan;work preparation Done;Pre-fabrication plan 
1;2320;3360;1;B;201618;0;201552;42324;201602
2;2320;3360;1;B;201621;0;201604;42324;201606
3;3230;6400;1;B;201615;0;201605;42345;201607
4;2830;6230;2;C;201626;0;201603;42164;201604
5;2625;5000;2;C;201617;0;201605;42325;201607
6;2425;4260;2;C;201619;0;201603;42325;201605
7;2825;5380;2;B;201615;0;201603;42327;201605
8;3535;8540;2;B;201612;0;201602;42327;201604
9;1566;1120;2;B;201621;0;201551;42328;201553
10;3636;9050;1;B;201644;0;201620;42331;201622
11;2830;6230;2;C;201709;0;201627;42333;201628
12;3130;6400;1;B;201646;0;201636;42352;201638
13;1612;1160;2;A ;201612;0;201605;42356;201607
14;2730;5460;2;C;201618;0;201609;42380;201611
15;1815;1340;1;B;201608;0;201603;42390;201604
16;1616;1160;2;B;201703;0;201603;42391;201604
17;2420;3680;2;B;201613;0;201604;42391;201606
18;2420;3680;2;B;201613;0;201604;42391;201606
19;3030;6000;2;B;201615;0;201606;42397;201608
20;3030;6000;2;B;201615;0;201607;42396;201609
21;3030;6000;2;B;201614;0;201607;42404;201609
22;2325;3410;2;B;201612;0;201604;42397;201605
23;2625;5000;2;C;201626;0;201615;42432;201617
24;2625;5000;2;C;201626;0;201615;42430;201617
25;2625;5000;2;C;201625;0;201617;42502;201619
26;1720;1890;1;B;201613;0;201605;42404;201607
27;2730;5460;2;C;201626;0;201616;42425;201618
28;2830;6230;2;C;201615;0;201606;42405;201608
29;2625;5000;2;C;201624;0;201616;42422;201618
30;3030;7410;2;C;201614;0;201609;42419;201611
31;3030;7410;2;C;201619;0;201611;42433;201613
32;1770;1870;2;C;201626;0;201615;42432;201618
33;1770;1870;2;C;201626;0;201615;42432;201617
34;1770;1870;2;C;201626;0;201614;42431;201616
35;2830;6230;2;C;201626;0;201616;42429;201618
36;2120;2760;2;C;201625;0;201616;42438;201618
37;3230;8400;2;C;201628;0;201616;42500;201618
38;3030;7410;2;C;201623;0;201612;42433;201613
39;3230;6400;1;B;201631;0;201618;42436;201620
40;1412;970;2;B;201612;0;201605;42415;201607
41;2770;5100;1;B;201615;0;201607;42405;201609
42;1616;1160;1;B;201613;0;0;42419;201608
43;4343;12030;2;B;201644;0;201630;42440;201632
44;1515;1060;2;B;201611;0;201607;42417;201607
45;2020;1800;2;B;201628;0;201614;42422;201616
46;1620;1510;1;C;201621;0;201614;42425;201616
47;1762;2800;1;B;201614;0;201607;42420;201608
48;1762;2800;1;B;201614;0;201607;42420;201608
49;1118;530;2;A ;201611;0;201607;42417;201607
50;706;240;2;A ;201614;0;201607;42416;201608
51;706;240;2;A ;201614;0;201607;42417;201608
52;2830;6230;2;C;201614;0;201607;42418;201608
53;4040;11100;1;B;201620;0;201611;42418;201613
54;2220;3020;1;B;201616;0;201608;42423;201609
55;2625;4410;4;B;201615;0;201608;42423;201609
56;1815;1340;1;B;201615;0;201608;42423;201609
57;1566;1120;2;B;201624;0;201608;42425;201609
58;1566;1120;2;B;201710;0;201610;42426;201612
59;1818;1340;2;B;201615;0;201608;42425;201610
60;1252;600;2;B;201616;0;201609;42430;201611
61;1412;970;2;B;201617;0;201610;42431;201612
62;1362;890;1;B;201617;0;201611;42452;201613
63;2825;5380;2;B;201619;0;201611;42439;201613
64;3230;6400;2;B;201620;0;201611;42438;201612
65;2020;1800;2;B;201629;0;201618;42453;201620
66;3230;8400;1;C;201617;0;201612;42451;201613
67;3030;7410;2;C;201628;0;201620;42464;201622
68;2730;5460;2;C;201628;0;201620;42468;201622
69;1920;2260;2;C;201627;0;201619;42479;201621
70;2020;1800;1;B;201616;0;201612;42450;201613
71;2425;4260;1;C;201626;0;201618;42486;201620
72;1815;1340;1;B;201621;0;201613;42464;201615
73;4343;12030;2;B;201708;0;201642;42653;201644
74;3230;6400;1;B;201708;0;201647;42489;201648
75;3130;6400;1;B;201704;0;201648;42702;201650
76;1822;1460;1;B;201621;0;201614;42461;201615
77;1770;2800;1;B;201619;0;201614;42460;201615
78;1770;2800;1;B;201617;0;201614;42460;201615
79;2120;2760;1;C;201627;0;201619;42481;201621
80;2120;2760;1;C;201619;0;201513;42461;201614
81;2730;5460;2;C;201632;0;201622;42468;201624
82;2730;5460;2;C;201637;0;201622;42471;201624
83;3434;9340;2;C;201632;0;201622;42485;201624
84;3030;7410;2;C;201632;0;201621;42468;201623
85;1620;1780;1;B;201621;0;201614;42465;201616
86;4140;11100;1;B;201629;0;201622;42481;201622
87;2958;6800;2;C;201628;0;201622;42481;201622
88;2958;6800;2;C;201637;0;201627;42544;201629
89;706;240;1;A ;201622;0;201617;42479;201618
90;1260;600;2;A ;201624;0;201617;42479;201619
91;1260;600;2;A ;201624;0;201617;42480;201619
92;1818;1340;1;B;201622;0;0;42487;201618
93;1818;1340;1;B;201622;0;0;42487;201618
94;1818;1340;1;B;201622;0;0;42487;201618
95;2725;4910;2;B;201624;0;201617;42496;201618
96;2725;4910;2;B;201624;0;201617;42496;201618
97;1566;1120;1;B;201624;0;201619;42503;201620
98;3040;6000;1;B;201641;0;201632;42584;201634
99;1516;1060;1;B;201623;0;201619;42501;201620
100;3030;7410;2;C;201704;0;201729;42506;201702
101;1920;2260;2;C;201637;0;201631;42517;201633
102;2730;5460;2;C;201639;0;201630;42506;201632
103;2120;2760;1;C;201625;0;201621;42507;201620
